,actualarrivaltime,actualdeparturetime,aircrafttype,destination,destinationCity,destinationName,diverted,estimatedarrivaltime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,filed_departuretime,filed_ete,filed_time,ident,origin,originCity,originName,route
12,1538588563,1538584500,MD88,KRIC,"Richmond, VA",Richmond Intl,,1538588563,447,,330,1538584200,01:06:00,1538371567,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,JACCC2 KELLN BYJAC Q60 JAXSN KELCE DUCXS4
13,1538510387,1538505660,M88,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538510387,446,,340,1538505660,01:10:00,1538285157,DAL1926,KRIC,"Richmond, VA",Richmond Intl,KALLI4 LYH FLASK OZZZI1
14,1538501795,1538497701,MD88,KRIC,"Richmond, VA",Richmond Intl,,1538501795,448,,330,1538497800,01:00:00,1538285157,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,JACCC2 KELLN BYJAC Q60 JAXSN KELCE DUCXS4
0,0,0,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1539113640,260,,0,1539109320,01:12:00,1538889938,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,
1,0,0,CRJ9,KROA,"Roanoke, VA",Roanoke Rgnl,,1539106020,275,,0,1539101940,01:08:00,1538889926,EDV5143,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,
2,0,0,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1539027240,260,,0,1539022920,01:12:00,1538803548,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,
3,0,0,CRJ9,KROA,"Roanoke, VA",Roanoke Rgnl,,1539018755,466,,310,1539015540,00:51:00,1538803554,EDV5143,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA PSK
4,0,0,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538939987,457,,320,1538936520,00:58:00,1538717173,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,FLASK OZZZI1
5,1538932563,1538929437,CRJ9,KROA,"Roanoke, VA",Roanoke Rgnl,,1538932563,460,,310,1538929140,00:45:00,1538929960,EDV5143,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA PSK
6,1538769308,1538766060,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538769308,466,,300,1538763720,01:32:00,1538544383,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,FLASK OZZZI1
7,1538761993,1538758680,CRJ9,KROA,"Roanoke, VA",Roanoke Rgnl,,1538761993,463,,310,1538756340,00:56:00,1538544383,EDV5143,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA PSK
8,1538682029,1538678899,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538682029,450,,260,1538677320,00:48:00,1538457937,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,FLASK OZZZI1
9,1538674834,1538671083,CRJ9,KROA,"Roanoke, VA",Roanoke Rgnl,,1538674834,462,,310,1538669940,00:57:00,1538457943,EDV5143,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA PSK
10,1538594640,1538591423,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538594640,457,,320,1538590920,01:32:00,1538371564,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,FLASK OZZZI1
11,1538587184,1538583600,CRJ9,KROA,"Roanoke, VA",Roanoke Rgnl,,1538587184,456,,270,1538583540,00:56:00,1538371567,EDV5143,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA PSK
12,1538507738,1538504340,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538507738,457,,320,1538504520,00:55:00,1538285166,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,FLASK OZZZI1
13,1538500972,1538497680,CRJ9,KROA,"Roanoke, VA",Roanoke Rgnl,,1538500972,456,,270,1538497140,00:56:00,1538285160,EDV5143,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA PSK
14,1538422059,1538418180,CRJ9,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538422059,448,,260,1538418120,00:53:00,1538198758,EDV5143,KROA,"Roanoke, VA",Roanoke Rgnl,FLASK OZZZI1
